id,dia_0,dia_1,dia_2,dia_3,dia_4,miembros
995,35,59,37,19,24,4
996,57,15,37,32,53,5
997,50,89,60,26,95,2
998,3,31,66,18,14,2
999,80,52,82,87,88,4
1000,25,30,23,12,1,6
1001,25,12,20,9,67,5
1002,46,5,56,21,70,3
1003,29,59,81,13,11,3
1004,45,1,87,60,17,2
1005,31,75,45,3,10,5
1006,95,96,74,88,1,6
1007,1,12,11,69,13,2
1008,73,39,1,45,5,4
1009,75,42,26,98,37,2
1010,46,19,45,95,14,4
1011,24,1,50,38,87,3
1012,67,46,35,1,39,7
1013,11,24,38,4,7,3
1014,52,59,30,12,3,4
1015,1,17,9,53,3,4
1016,17,9,16,24,50,5
1017,5,73,29,40,6,4
1018,16,66,53,40,52,4
1019,75,18,1,3,90,3
1020,60,54,28,67,46,5
1021,75,5,4,11,94,3
1022,73,45,38,75,100,6
1023,60,52,74,5,46,3
1024,24,1,54,18,44,4
1025,71,10,46,18,12,6
1026,18,16,49,53,39,2
1027,54,39,95,74,70,3
1028,13,45,1,21,88,4
1029,41,12,32,40,61,5
1030,59,83,66,46,13,4
1031,94,30,52,9,17,5
1032,5,73,82,67,33,3
1033,52,1,46,32,88,3
1034,17,58,73,1,81,6
1035,40,1,2,18,17,4
1036,25,7,94,34,4,5
1037,66,45,53,23,88,2
1038,94,40,29,58,12,4
1039,66,88,11,47,33,4
1040,23,4,59,2,33,4
1041,96,94,5,95,89,4
1042,15,24,81,89,39,6
1043,16,1,23,21,61,4
1044,68,35,61,47,11,5
1045,73,20,53,39,60,4
1046,54,13,39,11,40,2
1047,15,9,1,18,87,4
1048,17,72,74,34,19,3
1049,31,3,25,67,14,3
1050,81,74,78,80,10,4
1051,59,3,61,12,41,4
1052,1,33,9,10,7,5
1053,33,95,84,28,73,4
1054,31,9,87,60,65,4
1055,81,46,15,2,19,3
1056,27,10,55,87,13,3
1057,17,72,56,71,68,5
1058,40,79,10,45,19,4
1059,1,40,75,38,14,2
1060,23,66,82,39,16,5
1061,65,2,94,21,25,4
1062,24,99,39,75,1,5
1063,25,1,87,56,82,2
1064,75,11,68,23,60,5
1065,1,88,68,77,59,3
1066,2,54,17,59,95,2
1067,75,52,59,39,3,5
1068,3,31,5,11,33,5
1069,25,31,98,21,6,4
1070,49,61,94,51,32,6
1071,94,66,88,75,25,4
1072,59,32,88,9,82,5
1073,32,31,81,29,20,4
1074,54,11,86,95,94,7
1075,1,52,8,67,38,4
1076,26,27,52,25,75,4
1077,14,24,88,7,12,4
1078,54,59,19,28,32,6
1079,59,61,95,1,18,2
1080,18,61,11,95,58,3
1081,25,68,13,10,20,8
1082,1,80,33,76,53,3
1083,96,47,50,60,57,2
1084,89,60,62,21,74,6
1085,31,75,24,68,21,2
1086,20,1,59,37,46,5
1087,22,40,1,88,32,5
1088,88,21,19,62,29,5
1089,60,46,81,57,42,3
1090,91,60,26,1,48,7
1091,56,10,15,67,82,4
1092,33,11,59,1,88,5
1093,67,52,48,80,82,4
1094,19,38,1,53,90,6
1095,19,17,1,46,20,7
1096,26,1,14,20,7,4
1097,55,54,5,58,17,7
1098,16,51,40,15,100,2
1099,59,5,60,81,1,8
1100,67,47,4,18,24,4
1101,68,75,32,46,1,2
1102,12,89,4,62,5,3
1103,74,28,1,15,30,4
1104,3,10,25,22,31,5
1105,45,33,2,20,59,4
1106,3,8,62,93,22,4
1107,75,10,61,11,42,4
1108,25,4,47,89,53,6
1109,5,47,22,81,1,6
1110,1,12,39,46,90,8
1111,100,49,14,12,74,2
1112,67,39,8,13,17,5
1113,18,62,10,1,11,5
1114,11,7,38,40,26,4
1115,31,96,7,15,74,5
1116,74,26,68,54,91,4
1117,1,7,16,10,34,4
1118,73,39,74,54,19,4
1119,34,14,61,10,73,4
1120,33,39,15,37,68,8
1121,94,97,87,39,25,2
1122,64,45,25,48,13,6
1123,26,40,61,51,12,4
1124,96,33,40,17,53,3
1125,26,39,23,67,24,2
1126,21,52,1,80,31,4
1127,68,16,71,95,18,2
1128,14,95,4,16,26,4
1129,1,32,80,19,96,4
1130,12,33,24,47,20,3
1131,24,73,12,66,95,7
1132,46,28,74,10,32,3
1133,3,89,52,45,1,2
1134,59,32,3,87,31,2
1135,67,17,100,44,54,5
1136,32,4,45,11,17,7
1137,3,80,95,42,52,8
1138,10,1,74,94,16,3
1139,42,73,68,74,50,6
1140,52,1,11,36,4,4
1141,87,9,25,2,18,5
1142,3,40,68,88,1,4
1143,87,10,60,59,17,4
1144,3,5,61,15,23,4
1145,53,18,55,96,43,5
1146,81,27,29,38,10,6
1147,47,62,4,18,55,6
1148,26,41,35,53,19,2
1149,59,12,74,3,31,3
1150,23,53,2,19,1,4
1151,25,45,14,48,73,2
1152,19,1,76,29,64,6
1153,17,75,66,77,38,5
1154,88,99,1,56,31,6
1155,75,48,1,95,2,2
1156,96,73,8,1,26,2
1157,15,49,1,40,94,3
1158,39,59,1,92,13,8
1159,17,12,26,95,66,4
1160,96,31,52,76,1,2
1161,60,67,33,4,81,5
1162,17,65,28,94,90,5
1163,18,1,52,53,61,5
1164,46,44,18,32,1,5
1165,79,94,32,5,50,3
1166,36,57,82,49,28,5
1167,61,1,25,83,17,5
1168,17,1,66,74,54,5
1169,1,25,47,32,40,4
1170,16,10,30,45,31,3
1171,80,1,55,32,54,6
1172,2,66,75,17,1,5
1173,88,1,55,37,67,5
1174,40,45,10,94,82,4
1175,60,34,10,4,26,5
1176,54,26,1,12,100,8
1177,52,89,13,80,51,2
1178,32,40,10,66,38,4
1179,69,67,47,14,96,3
1180,11,75,95,5,66,4
1181,56,47,75,24,1,5
1182,11,16,18,89,80,3
1183,66,3,82,40,49,3
1184,82,1,95,40,92,3
1185,52,89,33,47,1,4
1186,2,82,67,33,74,7
1187,75,39,11,13,28,4
1188,4,17,82,5,51,6
1189,94,89,32,54,14,8
1190,4,49,26,52,11,7
1191,75,5,43,25,74,5
1192,7,91,71,38,33,8
1193,4,11,48,76,45,4
1194,47,95,24,44,48,5
1195,43,84,88,1,35,2
1196,67,27,25,12,95,4
1197,5,45,25,66,24,4
1198,50,1,81,80,53,3
1199,16,19,8,1,26,4
1200,16,74,47,67,25,4
1201,11,75,96,26,68,6
1202,53,34,82,17,3,3
1203,87,1,100,67,45,3
1204,25,56,5,45,95,5
1205,9,11,31,93,86,4
1206,33,42,31,37,45,3
1207,26,7,25,4,38,2
1208,43,60,53,59,38,2
1209,74,6,22,69,1,7
1210,1,53,52,25,13,5
1211,49,96,24,19,55,2
1212,88,11,59,21,40,6
1213,50,83,67,21,74,3
1214,3,100,1,95,19,3
1215,94,12,89,80,4,3
1216,68,34,41,53,23,4
1217,41,75,24,38,40,4
1218,1,11,19,62,45,4
1219,39,26,24,2,66,4
1220,54,80,60,53,84,3
1221,1,80,77,53,42,5
1222,5,28,81,76,31,3
1223,58,82,88,42,45,6
1224,8,89,45,71,81,4
1225,25,19,31,46,75,4
1226,10,1,12,81,5,3
1227,18,19,22,39,25,5
1228,19,29,45,4,85,5
1229,21,27,58,26,96,4
1230,40,52,73,68,38,4
1231,87,89,82,20,11,5
1232,67,68,33,12,1,4
1233,45,71,89,1,67,2
1234,52,19,73,88,26,3
1235,45,1,32,64,96,6
1236,82,31,81,32,17,5
1237,43,40,29,4,1,3
1238,96,10,95,16,50,2
1239,50,12,61,4,2,3
1240,33,13,89,6,61,2
1241,60,40,46,54,39,4
1242,1,14,96,28,57,4
1243,58,1,44,81,17,3
1244,94,4,52,75,46,6
1245,10,1,5,88,80,4
1246,2,13,87,39,17,2
1247,81,8,3,74,75,2
1248,39,17,5,59,66,4
1249,39,65,17,27,10,7
1250,38,13,11,1,16,4
1251,29,28,20,75,24,4
1252,4,29,24,25,1,3
1253,72,10,24,38,7,2
1254,1,37,11,5,84,2
1255,89,26,93,74,38,6
1256,1,10,73,79,33,4
1257,88,38,12,2,54,6
1258,60,1,87,53,80,4
1259,66,87,32,24,68,2
1260,38,86,1,88,4,3
1261,1,68,27,59,95,4
1262,60,24,16,1,12,3
1263,91,32,82,92,96,4
1264,1,24,98,96,82,2
1265,5,83,13,1,39,3
1266,37,32,95,26,75,3
1267,23,22,43,62,9,4
1268,54,35,44,96,95,8
1269,1,66,28,88,35,6
1270,54,86,28,6,16,4
1271,95,3,21,68,14,5
1272,89,47,24,56,17,4
1273,27,81,55,58,87,8
1274,87,54,53,19,7,3
1275,5,71,30,12,69,5
1276,7,26,24,1,80,7
1277,49,58,67,1,84,5
1278,82,27,21,25,97,4
1279,57,9,53,96,33,7
1280,9,17,5,82,33,5
1281,76,78,13,60,45,2
1282,81,30,15,39,25,4
1283,29,12,46,47,45,4
1284,2,1,19,87,73,5
1285,38,70,73,13,40,5
1286,97,87,49,93,73,2
1287,1,11,39,91,15,4
1288,3,54,74,53,80,3
1289,39,89,80,46,18,4
1290,52,1,25,3,11,3
1291,34,39,73,1,53,4
1292,35,41,12,81,45,6
1293,12,77,62,1,6,3
1294,75,11,52,39,30,4
1295,95,26,22,93,94,5
1296,3,26,32,25,7,4
1297,96,3,10,61,82,5
1298,31,80,16,11,20,4
1299,11,32,39,59,99,4
1300,40,3,81,28,7,2
1301,9,54,53,74,12,4
1302,27,33,75,24,74,7
1303,80,37,46,47,74,3
1304,54,17,58,88,59,3
1305,5,12,40,65,49,6
1306,52,22,66,94,11,2
1307,60,82,73,29,53,6
1308,1,58,29,40,87,3
1309,57,75,88,5,1,2
1310,46,67,52,66,55,4
1311,45,60,6,33,40,4
1312,10,24,96,11,46,5
1313,88,95,56,75,26,2
1314,26,31,33,66,2,4
1315,31,2,52,29,38,4
1316,89,68,33,10,1,3
1317,26,87,27,60,10,4
1318,39,28,31,80,18,2
1319,43,87,79,9,82,4
1320,54,88,45,47,3,4
1321,1,19,16,15,13,4
1322,1,52,46,8,47,3
1323,96,45,54,1,40,5
1324,46,80,33,61,25,4
1325,23,1,40,25,17,5
1326,25,51,69,82,46,5
1327,14,81,12,46,1,4
1328,53,1,16,31,52,2
1329,5,88,3,1,67,4
1330,90,85,70,53,2,4
1331,11,25,92,3,68,8
1332,82,31,22,12,1,3
1333,53,11,54,1,38,4
1334,55,37,38,19,26,5
1335,89,19,71,38,31,4
1336,43,80,63,1,25,3
1337,78,87,46,18,41,6
1338,85,59,81,66,12,3
1339,77,66,87,10,22,4
1340,23,6,24,42,96,2
1341,67,13,1,5,51,4
1342,88,48,25,4,2,3
1343,34,8,24,11,1,3
1344,19,4,52,24,43,3
1345,32,67,24,87,96,5
1346,28,2,54,74,1,4
1347,5,20,29,89,77,3
1348,30,1,89,27,51,2
1349,54,4,50,24,95,3
1350,19,21,80,75,68,2
1351,81,9,50,17,24,4
1352,33,3,87,26,17,4
1353,11,1,29,61,4,8
1354,14,31,1,45,81,3
1355,54,81,59,61,38,3
1356,49,3,48,14,1,5
1357,82,96,22,6,59,3
1358,38,46,22,30,32,3
1359,31,16,75,68,96,8
1360,98,18,1,80,75,6
1361,3,2,20,17,33,3
1362,83,40,69,4,3,7
1363,33,99,40,89,75,4
1364,41,8,4,19,10,3
1365,68,91,82,5,73,2
1366,14,1,44,45,89,2
1367,2,33,59,13,50,2
1368,26,96,7,14,1,6
1369,1,87,93,35,21,3
1370,43,59,68,47,5,3
1371,85,4,96,52,44,4
1372,75,1,94,31,29,5
1373,3,49,13,34,31,2
1374,4,1,3,53,26,3
1375,32,41,44,18,38,5
1376,94,7,38,14,90,3
1377,18,75,9,24,34,6
1378,73,26,95,68,61,3
1379,23,93,5,39,15,4
1380,80,25,54,89,61,5
1381,52,43,19,46,12,7
1382,3,67,54,41,46,4
1383,26,40,29,92,69,3
1384,59,62,56,74,29,2
1385,87,33,52,28,95,3
1386,10,29,75,17,77,4
1387,5,48,54,68,38,4
1388,63,45,4,5,12,2
1389,74,51,54,1,61,5
1390,42,72,95,4,93,5
1391,74,94,61,1,14,6
1392,53,42,61,1,82,4
1393,11,60,29,87,88,4
1394,38,52,8,39,88,7
1395,17,66,1,2,3,2
1396,90,86,74,60,19,7
1397,2,54,50,90,96,7
1398,1,73,10,38,57,2
1399,59,19,43,16,32,3
1400,22,48,25,60,80,5
1401,10,87,1,4,26,4
1402,59,61,13,28,32,4
1403,87,12,23,63,19,4
1404,27,32,87,5,36,7
1405,53,56,17,23,19,4
1406,26,24,18,12,45,4
1407,44,95,87,66,24,3
1408,45,67,39,51,19,3
1409,95,74,75,19,4,5
1410,53,1,25,20,87,5
1411,54,19,29,11,66,6
1412,1,86,39,3,66,4
1413,1,86,32,18,33,5
1414,89,48,60,34,65,4
1415,18,97,82,38,3,3
1416,3,80,24,33,20,7
1417,73,46,12,52,39,4
1418,42,86,3,91,47,5
1419,9,19,1,87,2,2
1420,59,70,25,28,31,8
1421,23,27,32,46,28,6
1422,91,16,26,32,11,8
1423,2,46,4,31,26,3
1424,38,51,37,12,40,2
1425,80,82,95,90,4,2
1426,43,53,40,4,81,3
1427,32,10,43,70,80,5
1428,32,3,14,16,66,3
1429,31,88,4,63,1,5
1430,20,88,1,54,75,6
1431,49,4,6,50,53,4
1432,33,1,3,89,19,3
1433,100,1,53,88,11,3
1434,16,22,61,99,59,3
1435,68,99,82,14,1,3
1436,96,1,49,95,69,8
1437,47,31,4,1,28,4
1438,7,89,19,45,95,3
1439,69,32,26,12,10,4
1440,23,81,89,96,66,5
1441,17,46,81,88,1,4
1442,12,26,11,47,10,4
1443,3,11,10,12,60,2
1444,81,45,42,88,47,5
1445,46,81,35,38,58,3
1446,7,32,80,12,89,3
1447,11,74,52,6,51,5
1448,89,74,36,52,95,4
1449,51,39,5,11,19,6
1450,66,1,68,42,19,4
1451,50,94,16,40,1,3
1452,28,88,24,7,30,2
1453,81,73,4,39,19,4
1454,25,10,75,15,43,8
1455,58,1,59,18,67,5
1456,24,10,1,8,56,5
1457,88,31,1,60,48,5
1458,20,2,46,38,25,2
1459,53,75,24,26,40,3
1460,2,4,7,75,61,6
1461,58,1,24,77,3,2
1462,40,96,18,47,52,3
1463,96,1,60,46,27,4
1464,59,26,57,39,17,7
1465,87,98,11,14,1,2
1466,64,24,44,33,95,4
1467,11,20,81,80,1,4
1468,100,5,39,66,24,4
1469,88,47,13,34,1,5
1470,33,96,1,87,24,5
1471,48,1,38,80,100,4
1472,94,75,1,80,58,8
1473,60,31,87,3,45,4
1474,19,99,46,16,38,3
1475,94,2,72,16,1,2
1476,4,53,1,2,3,2
1477,1,47,79,27,88,8
1478,65,1,13,59,18,3
1479,88,70,89,9,78,6
1480,23,1,59,87,54,7
1481,80,9,94,84,24,4
1482,33,23,7,75,46,4
1483,85,40,23,70,39,2
1484,73,16,89,22,67,4
1485,67,33,44,5,1,6
1486,46,66,9,99,49,2
1487,1,74,64,52,82,6
1488,54,18,30,80,52,8
1489,40,23,38,11,56,3
1490,62,56,38,89,94,6
1491,97,14,61,52,11,7
1492,1,41,89,44,94,4
1493,41,87,33,31,53,5
1494,46,7,59,35,18,2
1495,81,80,8,30,53,2
1496,49,96,79,30,31,2
1497,20,25,79,11,77,3
1498,96,28,18,32,82,8
1499,88,24,47,18,64,3
1500,46,38,1,39,100,4
1501,96,54,12,63,3,3
1502,84,61,50,4,77,2
1503,12,54,5,14,33,3
1504,17,82,10,1,26,2
1505,66,44,4,68,3,6
1506,19,26,24,37,5,6
1507,18,81,3,66,10,4
1508,1,88,51,7,3,4
1509,32,46,4,1,24,4
1510,5,32,1,34,17,3
1511,28,1,24,91,33,4
1512,48,58,45,75,54,5
1513,40,26,1,4,14,4
1514,95,5,40,20,75,3
1515,1,77,11,52,18,4
1516,4,82,1,52,31,4
1517,8,47,53,20,25,4
1518,27,1,81,24,17,4
1519,75,12,19,6,53,2
1520,48,56,8,24,80,2
1521,20,81,13,32,83,7
1522,96,86,59,58,52,3
1523,1,33,46,67,10,2
1524,11,1,9,74,45,5
1525,52,11,54,45,72,4
1526,18,26,89,33,59,5
1527,47,31,19,79,30,4
1528,96,87,29,50,31,6
1529,46,5,53,2,6,8
1530,33,4,74,40,94,5
1531,26,96,10,32,52,3
1532,47,42,78,80,9,3
1533,66,53,99,80,17,6
1534,52,38,54,3,12,2
1535,18,1,45,59,20,3
1536,54,1,6,11,40,6
1537,1,49,24,10,94,4
1538,16,23,9,22,35,3
1539,52,40,61,26,6,4
1540,99,22,68,79,3,3
1541,15,13,59,47,54,4
1542,22,94,63,56,27,5
1543,16,87,82,54,75,2
1544,69,36,88,45,32,6
1545,80,33,23,27,28,4
1546,52,91,1,46,59,7
1547,47,95,1,5,4,4
1548,59,2,62,43,96,3
1549,25,54,17,82,60,3
1550,12,75,22,11,1,5
1551,7,65,86,87,76,7
1552,24,39,18,33,23,3
1553,53,46,12,84,80,4
1554,10,96,83,24,17,4
1555,1,37,6,87,82,4
1556,81,5,52,58,1,5
1557,39,21,64,11,12,7
1558,2,81,15,68,42,3
1559,29,80,10,61,32,8
1560,88,25,47,36,79,5
1561,17,1,4,12,20,5
1562,7,16,98,3,31,3
1563,6,57,25,19,17,5
1564,59,26,71,53,3,4
1565,82,25,26,52,95,2
1566,15,96,43,1,3,4
1567,37,82,89,58,38,7
1568,40,36,31,1,87,3
1569,52,82,63,30,16,3
1570,1,94,5,19,88,6
1571,91,61,43,12,15,5
1572,81,34,24,21,9,8
1573,82,96,1,61,33,4
1574,60,6,16,48,25,3
1575,59,94,11,85,38,3
1576,95,33,26,91,20,2
1577,74,5,24,33,21,4
1578,26,3,24,58,31,3
1579,3,87,17,1,61,4
1580,31,68,96,56,15,5
1581,10,1,82,12,33,3
1582,1,67,39,88,47,7
1583,31,1,74,33,67,4
1584,46,66,26,9,31,4
1585,5,28,3,90,76,4
1586,29,53,94,47,17,2
1587,88,73,95,35,12,4
1588,20,11,4,47,1,3
1589,53,59,22,94,5,3
1590,45,89,86,79,12,4
1591,89,60,27,73,12,6
1592,6,10,73,12,3,4
1593,1,66,95,59,32,7
1594,12,26,60,66,20,4
1595,1,50,49,12,34,2
1596,95,96,36,49,89,4
1597,1,50,97,96,32,8
1598,15,7,1,75,93,6
1599,87,1,4,44,53,5
1600,27,5,81,9,59,2
1601,22,3,24,89,59,3
1602,1,7,67,9,3,2
1603,7,25,1,23,29,4
1604,78,40,68,87,39,4
1605,1,3,7,26,24,2
1606,51,59,46,41,54,4
1607,59,76,54,41,94,6
1608,26,1,25,64,52,4
1609,21,43,45,60,65,4
1610,26,2,59,58,38,6
1611,1,68,81,77,17,6
1612,1,46,54,40,30,4
1613,17,1,9,67,47,3
1614,61,1,36,6,18,3
1615,88,51,52,99,83,7
1616,26,53,41,10,4,3
1617,52,10,59,24,68,4
1618,8,82,26,89,46,4
1619,46,32,50,10,1,3
1620,40,43,16,1,5,3
1621,71,21,66,18,10,8
1622,45,39,56,5,73,4
1623,14,42,53,25,61,5
1624,9,45,70,52,48,2
1625,84,74,18,73,47,2
1626,54,82,80,47,37,7
1627,46,13,30,61,48,3
1628,53,19,31,1,17,6
1629,60,94,5,95,88,4
1630,52,17,63,31,11,6
1631,18,12,4,75,42,3
1632,30,19,59,85,29,7
1633,1,33,47,31,14,4
1634,49,74,23,55,1,3
1635,95,82,31,1,32,4
1636,90,77,39,18,73,4
1637,67,40,39,19,46,5
1638,1,31,39,81,46,2
1639,83,1,89,5,33,2
1640,30,60,2,95,61,6
1641,12,1,23,88,24,2
1642,4,49,87,64,32,4
1643,81,32,12,1,14,4
1644,72,80,29,1,39,4
1645,36,17,88,47,84,8
1646,80,66,98,33,50,4
1647,68,25,21,53,18,4
1648,11,24,26,75,82,8
1649,46,6,22,90,38,2
1650,21,10,48,11,95,4
1651,4,26,10,89,32,3
1652,21,37,38,73,75,3
1653,1,45,14,6,97,8
1654,40,54,20,89,36,5
1655,68,85,87,64,91,6
1656,31,3,74,38,6,4
1657,1,56,22,17,62,4
1658,60,82,51,56,27,3
1659,1,82,81,11,52,4
1660,68,33,41,29,18,2
1661,39,87,15,43,1,5
1662,18,54,26,1,20,6
1663,19,36,12,1,94,3
1664,10,46,27,88,1,4
1665,36,31,5,30,55,2
1666,18,82,13,42,12,4
1667,53,96,45,46,54,5
1668,7,94,47,40,59,2
1669,8,12,1,23,48,5
1670,88,24,1,31,21,4
1671,87,18,1,55,32,2
1672,58,5,32,20,15,4
1673,39,37,94,17,1,3
1674,57,79,54,37,20,3
1675,88,13,17,46,18,2
1676,27,10,15,59,45,2
1677,27,13,18,60,8,5
1678,1,11,53,85,41,2
1679,26,35,96,22,10,8
1680,55,87,23,2,1,6
1681,33,26,24,59,98,5
1682,1,40,91,96,67,2
1683,7,27,74,8,31,6
1684,54,1,25,67,7,2
1685,73,5,31,12,87,6
1686,40,31,1,23,48,2
1687,21,92,32,14,1,2
1688,87,24,29,41,68,5
1689,39,33,52,25,24,2
1690,47,11,53,24,25,6
1691,4,92,78,5,96,7
1692,32,11,45,18,39,5
1693,47,23,67,61,95,2
1694,45,81,5,59,63,2
1695,25,100,73,7,5,3
1696,17,82,22,33,95,5
1697,61,83,30,21,53,2
1698,67,8,84,31,53,4
1699,12,53,52,17,75,6
1700,73,8,1,96,10,5
1701,52,73,68,94,29,6
1702,99,73,6,25,9,6
1703,69,33,53,38,88,3
1704,60,9,61,59,11,5
1705,66,10,89,7,40,5
1706,17,71,12,31,1,5
1707,73,57,7,94,18,3
1708,72,81,25,40,14,2
1709,56,73,5,81,18,3
1710,43,12,39,32,54,5
1711,34,3,59,11,42,5
1712,12,47,66,7,18,4
1713,54,30,1,40,47,6
1714,40,81,53,89,24,5
1715,17,73,2,29,46,6
1716,1,35,65,95,2,4
1717,11,10,60,19,68,5
1718,10,46,78,31,30,3
1719,23,94,21,17,80,6
1720,24,22,11,12,44,4
1721,43,45,53,11,46,3
1722,67,41,46,11,40,3
1723,29,21,17,60,23,8
1724,60,25,17,53,45,4
1725,31,7,19,12,38,5
1726,3,85,60,73,96,6
1727,95,18,90,75,55,5
1728,35,96,18,7,1,6
1729,46,4,44,73,10,3
1730,2,1,46,89,3,5
1731,15,25,57,17,81,3
1732,34,95,15,13,39,4
1733,11,38,4,52,19,2
1734,21,12,52,94,1,5
1735,1,74,31,19,60,2
1736,28,10,80,45,52,3
1737,17,7,23,4,59,5
1738,29,31,32,48,1,8
1739,89,59,47,1,32,3
1740,12,68,1,98,10,2
1741,27,30,1,31,26,3
1742,48,89,60,27,12,5
1743,5,1,35,72,81,2
1744,52,60,64,24,11,4
1745,74,25,1,98,95,4
1746,73,57,59,18,3,6
1747,84,92,40,45,3,3
1748,32,67,21,38,84,2
1749,68,59,33,1,12,3
1750,51,65,86,45,73,5
1751,31,66,1,52,22,3
1752,12,17,67,38,80,4
1753,1,59,4,64,29,7
1754,4,96,53,16,74,5
1755,66,33,87,74,10,4
1756,19,27,54,7,81,3
1757,75,95,54,89,100,4
1758,81,55,25,6,32,2
1759,12,1,18,27,52,2
1760,59,57,31,26,81,4
1761,25,42,95,68,46,6
1762,47,29,66,40,53,3
1763,25,46,54,73,38,3
1764,40,60,66,74,1,3
1765,22,17,52,1,74,8
1766,24,56,81,61,66,3
1767,36,44,21,82,81,4
1768,25,33,24,77,19,6
1769,24,61,67,73,46,7
1770,75,45,1,20,38,5
1771,45,85,59,12,19,5
1772,94,66,40,96,73,3
1773,61,1,74,32,46,5
1774,46,43,54,82,12,5
1775,26,24,45,19,11,5
1776,58,10,63,13,80,5
1777,24,94,54,29,57,2
1778,1,35,52,74,67,5
1779,29,84,12,46,15,2
1780,26,24,75,7,90,3
1781,1,31,28,81,73,2
1782,40,26,48,11,58,5
1783,16,12,52,40,1,3
1784,60,19,3,75,80,3
1785,17,87,80,52,25,4
1786,7,47,3,26,89,3
1787,49,13,58,70,73,2
1788,11,46,57,49,33,3
1789,1,23,24,91,88,6
1790,74,32,1,50,73,5
1791,27,30,95,66,88,5
1792,81,67,4,47,87,4
1793,12,94,87,28,73,3
1794,100,29,52,11,5,4
1795,23,82,44,50,95,4
1796,74,61,32,40,56,3
1797,9,1,62,67,73,3
1798,26,30,31,51,19,4
1799,1,54,7,74,53,3
1800,42,33,61,31,39,3
1801,56,53,17,40,38,3
1802,48,27,100,24,35,4
1803,9,43,14,54,1,4
1804,49,43,9,12,24,4
1805,96,98,1,61,10,5
1806,28,12,61,1,34,2
1807,66,1,5,45,81,7
1808,31,52,41,15,1,8
1809,12,29,86,58,8,8
1810,25,11,5,52,45,3
1811,67,26,1,19,4,2
1812,90,44,21,88,47,8
1813,1,62,39,5,4,8
1814,82,95,19,47,89,2
1815,25,5,73,3,58,6
1816,68,12,17,82,74,3
1817,45,26,12,25,17,5
1818,18,2,29,12,39,3
1819,3,1,31,9,57,5
1820,82,5,96,74,60,4
1821,68,75,45,91,4,3
1822,10,11,18,77,84,8
1823,75,61,32,3,74,5
1824,42,1,38,32,18,5
1825,82,32,88,19,9,2
1826,73,16,17,33,44,2
1827,32,18,59,26,72,3
1828,51,18,100,94,81,5
1829,38,30,79,13,17,7
1830,2,5,64,45,81,4
1831,18,4,5,68,12,6
1832,11,5,14,80,95,7
1833,10,74,95,15,17,6
1834,7,9,5,11,1,3
1835,88,6,96,43,53,4
1836,54,34,3,59,97,4
1837,1,5,45,20,26,3
1838,61,45,89,23,1,5
1839,57,28,46,17,25,6
1840,7,68,1,23,31,8
1841,10,17,39,60,89,3
1842,40,26,4,91,61,4
1843,66,88,67,25,38,3
1844,75,38,39,54,96,4
1845,55,11,19,20,73,3
1846,2,45,80,3,59,4
1847,82,1,59,4,47,6
1848,1,40,66,90,6,7
1849,21,80,51,1,90,2
1850,5,17,70,31,26,4
1851,1,74,25,7,11,6
1852,87,50,25,21,88,8
1853,4,25,74,26,82,4
1854,15,51,94,39,18,4
1855,49,9,1,45,87,7
1856,67,45,47,62,1,3
1857,33,74,8,40,45,3
1858,59,14,60,96,30,4
1859,91,6,10,40,71,4
1860,2,1,24,47,51,3
1861,44,10,13,19,89,3
1862,26,12,1,40,35,3
1863,17,11,35,92,89,4
1864,68,1,34,75,51,6
1865,37,6,78,21,87,5
1866,17,47,18,14,49,2
1867,16,1,73,5,94,4
1868,3,73,4,7,94,3
1869,9,1,51,61,18,6
1870,95,37,28,60,25,4
1871,61,41,13,9,17,4
1872,74,1,54,46,19,6
1873,19,32,20,45,96,6
1874,61,68,73,17,38,7
1875,74,42,11,54,53,4
1876,17,34,39,81,53,4
1877,32,60,41,1,18,3
1878,73,50,67,60,74,5
1879,3,25,96,93,5,4
1880,59,25,18,19,54,5
1881,49,45,8,75,38,4
1882,73,59,48,11,44,3
1883,29,68,25,31,32,4
1884,99,75,30,53,3,3
1885,81,98,80,89,1,4
1886,9,1,31,10,95,7
1887,59,66,75,74,43,4
1888,61,52,96,22,45,6
1889,75,59,73,76,68,4
1890,8,11,7,36,4,6
1891,42,28,43,19,32,4
1892,87,10,33,2,28,4
1893,19,66,45,95,1,2
1894,31,24,1,5,19,3
1895,95,18,47,53,44,4
1896,47,63,50,11,39,2
1897,31,34,1,61,7,4
1898,45,13,11,31,44,7
1899,27,29,26,38,46,7
1900,7,39,24,29,2,5
1901,97,26,4,91,1,5
1902,52,1,58,53,24,4
1903,10,24,96,1,52,6
1904,32,18,75,66,100,4
1905,1,53,73,35,82,3
1906,89,3,21,87,95,4
1907,33,5,98,32,26,2
1908,21,5,1,26,47,2
1909,93,50,18,1,27,3
1910,34,11,71,68,39,3
1911,1,67,8,32,25,4
1912,60,59,58,90,8,5
1913,53,75,77,1,10,3
1914,31,96,3,82,44,4
1915,59,38,33,15,95,6
1916,98,19,88,89,46,6
1917,17,26,18,80,82,4
1918,5,25,81,27,89,3
1919,1,25,47,87,84,3
1920,39,33,1,30,59,2
1921,29,39,59,18,89,3
1922,39,26,13,40,4,4
1923,84,32,27,19,16,4
1924,3,17,19,47,7,4
1925,89,61,26,43,25,7
